Company,Price,change,Percent Change,Market Cap
"SolarEdge Technologies, Inc.",76.37,-0.61,-0.79%,3.712B
"Cornerstone OnDemand, Inc.",60.48,-0.05,-0.08%,3.672B
"FireEye, Inc.",16.93,-0.06,-0.32%,3.671B
Cabot Microelectronics Corporation,128.42,+1.47,+1.16%,3.729B
"Coherent, Inc.",150.86,+1.11,+0.74%,3.618B
The Descartes Systems Group Inc,42.23,+0.02,+0.05%,3.552B
"Envestnet, Inc.",65.33,+0.11,+0.17%,3.428B
Viavi Solutions Inc.,14.92,-0.24,-1.58%,3.428B
"Qualys, Inc.",86.25,-1.44,-1.64%,3.343B
"LiveRamp Holdings, Inc.",49.23,+0.59,+1.21%,3.333B
Semtech Corporation,48.92,+0.26,+0.53%,3.255B
"CoreLogic, Inc.",40.50,+0.31,+0.77%,3.22B
"Itron, Inc.",79.66,+0.41,+0.52%,3.152B
